MB_CODE_2016,MB_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10005070000,10005070000,1,Good,Good,0
10005080000,10005080000,1,Good,Good,0
10005090000,10005090000,1,Good,Good,0
10005100000,10005100000,1,Good,Good,0
10005110000,10005110000,1,Good,Good,0
10005120000,10005120000,1,Good,Good,0
10005130000,10005130000,1,Good,Good,0
10005140000,10005140000,1,Good,Good,0
10005150000,10005150000,1,Good,Good,0
10005160000,10005160000,1,Good,Good,0
10005170000,10005170000,1,Good,Good,0
10005180000,10005180000,1,Good,Good,0
10005190000,10005190000,1,Good,Good,0
10005200000,10005200000,1,Good,Good,0
10005210000,10005210000,1,Good,Good,0
10005220000,10005220000,1,Good,Good,0
10005230000,10005230000,1,Good,Good,0
10005240000,10005240000,1,Good,Good,0
10005250000,10005250000,1,Good,Good,0
10005260000,10005260000,1,Good,Good,0
10005270000,10005270000,1,Good,Good,0
10005280000,10005280000,1,Good,Good,0
10005290000,10005290000,1,Good,Good,0
10005300000,10005300000,1,Good,Good,0
10005310000,10005310000,1,Good,Good,0
10005320000,10005320000,1,Good,Good,0
10005330000,10005330000,1,Good,Good,0
10005340000,10005340000,1,Good,Good,0
10005350000,10005350000,1,Good,Good,0
10005360000,10005360000,1,Good,Good,0
10005370000,10005370000,1,Good,Good,0
10005380000,10005380000,1,Good,Good,0
10005390000,10005390000,1,Good,Good,0
10005400000,10005400000,1,Good,Good,0
10005410000,10005410000,1,Good,Good,0
10005420000,10005420000,1,Good,Good,0
10005430000,10005430000,1,Good,Good,0
10005440000,10005440000,1,Good,Good,0
10005450000,10005450000,1,Good,Good,0
10005460000,10005460000,1,Good,Good,0
10005470000,10005470000,1,Good,Good,0
10005480000,10005480000,1,Good,Good,0
10005490000,10005490000,1,Good,Good,0
10005500000,10005500000,1,Good,Good,0
10005510000,10005510000,1,Good,Good,0
10005520000,10005520000,1,Good,Good,0
10005530000,10005530000,1,Good,Good,0
10005540000,10005540000,1,Good,Good,0
10005550000,10005550000,1,Good,Good,0
10005560000,10005560000,1,Good,Good,0
10005570000,10005570000,1,Good,Good,0
10005580000,10005580000,1,Good,Good,0
10005590000,10005590000,1,Good,Good,0
10005600000,10005600000,1,Good,Good,0
10005610000,10005610000,1,Good,Good,0
10005620000,10005620000,1,Good,Good,0
10005630000,10005630000,1,Good,Good,0
10005640000,10005640000,1,Good,Good,0
10005650000,10005650000,1,Good,Good,0
10005660000,10005660000,1,Good,Good,0
10005670000,10005670000,1,Good,Good,0
10005680000,10005680000,1,Good,Good,0
10005690000,10005690000,1,Good,Good,0
10005700000,10005700000,1,Good,Good,0
10005710000,10005710000,1,Good,Good,0
