SA2_CODE_2021,SA2_NAME_2021,CED_CODE_2024,CED_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
315011399,Northern Peninsula,318,Leichhardt,1,Good,Good,0
315011400,Tablelands,318,Leichhardt,0.0026002,Good,Good,1
315011400,Tablelands,317,Kennedy,0.9973998,Good,Good,0
315011401,Torres,318,Leichhardt,1,Good,Good,0
315011402,Torres Strait Islands,318,Leichhardt,1,Good,Good,0
315011403,Weipa,318,Leichhardt,1,Good,Good,0
315021404,Carpentaria,318,Leichhardt,0.0006277,Good,Good,1
315021404,Carpentaria,317,Kennedy,0.9993723,Good,Good,0
315021405,Mount Isa,317,Kennedy,1,Good,Good,0
315021406,Mount Isa Surrounds,317,Kennedy,1,Good,Good,0
315021407,Northern Highlands,317,Kennedy,1,Good,Good,0
315031408,Barcaldine - Blackall,321,Maranoa,1,Good,Good,0
315031409,Charleville,321,Maranoa,1,Good,Good,0
315031410,Far Central West,317,Kennedy,0.2032783,Good,Good,0
315031410,Far Central West,321,Maranoa,0.7967217,Good,Good,0
315031411,Far South West,321,Maranoa,1,Good,Good,0
315031412,Longreach,321,Maranoa,1,Good,Good,0
316011413,Buderim - North,309,Fairfax,1,Good,Good,0
316011414,Buderim - South,310,Fisher,0.0151458,Good,Good,0
316011414,Buderim - South,309,Fairfax,0.9848542,Good,Good,0
316011415,Mountain Creek,309,Fairfax,1,Good,Good,0
316011416,Sippy Downs,310,Fisher,1,Good,Good,0
316021417,Aroona - Currimundi,310,Fisher,1,Good,Good,0
316021418,Buddina - Minyama,310,Fisher,1,Good,Good,0
316021419,Caloundra - Kings Beach,310,Fisher,1,Good,Good,0
316021421,Golden Beach - Pelican Waters,310,Fisher,1,Good,Good,0
